Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;C1 - Ungültige Stimmzettel;C2 - Gültige Stimmzettel;D - Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - FDP;D06 - GRÜNE;D07 - FREIE WÄHLER;D08 - dieBasis;D09 - Tierschutzpartei;D10 - Gartenpartei;D11 - Die PARTEI;D12 - Tierschutzallianz;D13 - HEIMAT;D14 - FBM;D15 - Volt;D16 - WG1;D17 - WG2;D18 - WG3;D19 - WG4;D20 - WG5;D21 - WG6;D22 - WG7;D23 - WG8;D24 - WG9;D25 - WG10;D26 - WG11;D27 - WG12;D28 - WG13;D29 - WG14;D30 - WG15;D31 - WG16;D32 - WG17;D33 - WG18;D34 - WG19;D35 - WG20;D36 - WG21;D37 - WG22;D38 - WG23;D39 - WG24;D40 - WG25;D41 - WG26;D42 - WG27;D43 - WG28;D44 - WG29;D45 - WG30;D46 - WG31;D47 - WG32;D48 - WG33;D49 - WG34;D50 - WG35;D51 - WG36;D52 - WG37;D53 - WG38;D54 - WG39;D55 - WG40;D56 - WG41;D57 - WG42;D58 - WG43;D59 - WG44;D60 - WG45;D61 - WG46;D62 - EB1;D63 - EB2;D64 - EB3;D65 - EB4;D66 - EB5;D67 - EB6;D68 - EB7;D69 - EB8;D70 - EB9;D71 - EB10;D72 - EB11;D73 - EB12;D74 - EB13;WG (Summe);EB (Summe);S - Sitze insgesamt;S01 - CDU;S02 - AfD;S03 - DIE LINKE;S04 - SPD;S05 - FDP;S06 - GRÜNE;S07 - FREIE WÄHLER;S08 - dieBasis;S09 - Tierschutzpartei;S10 - Gartenpartei;S11 - Die PARTEI;S12 - Tierschutzallianz;S13 - HEIMAT;S14 - FBM;S15 - Volt;S16 - WG1;S17 - WG2;S18 - WG3;S19 - WG4;S20 - WG5;S21 - WG6;S22 - WG7;S23 - WG8;S24 - WG9;S25 - WG10;S26 - WG11;S27 - WG12;S28 - WG13;S29 - WG14;S30 - WG15;S31 - WG16;S32 - WG17;S33 - WG18;S34 - WG19;S35 - WG20;S36 - WG21;S37 - WG22;S38 - WG23;S39 - WG24;S40 - WG25;S41 - WG26;S42 - WG27;S43 - WG28;S44 - WG29;S45 - WG30;S46 - WG31;S47 - WG32;S48 - WG33;S49 - WG34;S50 - WG35;S51 - WG36;S52 - WG37;S53 - WG38;S54 - WG39;S55 - WG40;S56 - WG41;S57 - WG42;S58 - WG43;S59 - WG44;S60 - WG45;S61 - WG46;S62 - EB1;S63 - EB2;S64 - EB3;S65 - EB4;S66 - EB5;S67 - EB6;S68 - EB7;S69 - EB8;S70 - EB9;S71 - EB10;S72 - EB11;S73 - EB12;S74 - EB13;WG (Summe);EB (Summe)
V;09.06.24;12:14 Uhr;2594;2594;LAN;15;Sachsen-Anhalt;1807500;1100682;22508;1078174;3187229;852759;894617;265187;377835;108954;142876;74462;9095;14328;14708;11597;5493;4004;14760;12342;6982;12967;20198;27523;14308;18694;6587;7629;4481;18032;27697;23948;13627;6913;12697;6053;27023;7846;6957;8092;4297;7878;4986;6447;1574;5634;3128;1764;3663;4013;4446;4637;1523;2161;3523;2228;2001;2131;4354;4194;1842;7490;1579;1116;824;5754;809;1885;648;1592;544;1355;1088;585;423;1557;659;492;1134;371441;12771;720;191;204;59;86;23;31;17;3;3;3;2;1;1;4;3;1;3;4;5;6;6;2;2;1;3;6;7;2;2;4;1;5;2;2;4;1;2;2;1; ;2;1; ;1;1;1;1; ;1;1; ; ; ;1;1; ;2; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;88;1
V;09.06.24;00:56 Uhr;73;73;KRS;15001;Kreisfreie Stadt Dessau-Roßlau;64726;39413;717;38696;113971;25112;29028;9096;10649;3276;6243; ; ; ; ; ; ; ; ; ; ; ; ; ;14308; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8092; ; ; ; ; ;5634; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1885;648; ; ; ; ; ; ; ; ; ; ;28034;2533;50;11;13;4;5;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;12;1
V;09.06.24;03:44 Uhr;186;186;KRS;15002;Kreisfreie Stadt Halle (Saale);186061;113269;1799;111470;329535;67804;69813;40831;39081;11852;37541;6011;3569; ; ;10783; ; ; ;8999; ; ; ; ; ; ; ; ; ;18032; ; ;13627; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1592; ; ; ; ; ; ; ; ; ;31659;1592;56;11;12;7;7;2;6;1;1; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; 
V;09.06.24;02:17 Uhr;207;207;KRS;15003;Kreisfreie Stadt Magdeburg, Landeshauptstadt;187588;109746;1622;108124;318989;75967;72602;32549;47856;13141;30118;1093; ;14328;14708; ;5493; ; ;3343;6982; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;809; ; ; ; ; ; ; ; ; ; ; ; ;6982;809;56;13;13;6;8;2;5; ; ;3;3; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
V;09.06.24;01:30 Uhr;157;157;KRS;15081;Altmarkkreis Salzwedel;68787;43418;833;42585;126153;31882;34149;11447;22233;3421;4327; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18694; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18694; ;42;11;11;4;7;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; 
V;09.06.24;04:16 Uhr;206;206;KRS;15082;Landkreis Anhalt-Bitterfeld;133609;80428;1842;78586;232881;60363;76305;22463;20591;9891;6779;16682; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6913; ; ; ; ; ; ; ; ; ;6447; ; ; ; ; ; ;4446; ; ; ; ; ;2001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19807; ;54;14;18;5;5;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; 
V;09.06.24;03:39 Uhr;238;238;KRS;15083;Landkreis Börde;143417;88836;2011;86825;256907;79274;72196;16374;33148;7580;7087; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27697; ; ; ; ; ; ; ; ; ;4297; ; ; ;1574; ; ; ; ; ; ; ; ; ; ; ; ;2131; ;4194; ; ; ; ; ; ; ; ; ; ; ;1355; ; ; ; ; ; ; ;39893;1355;54;17;15;3;7;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; 
V;09.06.24;02:00 Uhr;242;242;KRS;15084;Burgenlandkreis;148302;89385;1951;87434;258755;78168;75614;15076;24770;5675;5643;3331;3193; ; ; ; ;2465; ; ; ; ;20198; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7878; ; ; ; ; ; ;3663; ; ; ;1523; ;3523; ; ; ;4354; ; ; ; ;1116; ; ; ; ; ; ; ; ; ;585;423;1557; ; ; ;42255;2565;54;16;16;3;5;1;1;1;1; ; ; ; ;1; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9; 
V;09.06.24;03:03 Uhr;217;217;KRS;15085;Landkreis Harz;178487;109177;2500;106677;313934;95783;81298;25409;40952;7885;13938;18918; ; ; ; ; ; ; ; ; ; ; ;27523; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2228; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;29751; ;60;18;16;5;8;1;3;4; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; 
V;09.06.24;03:35 Uhr;112;112;KRS;15086;Landkreis Jerichower Land;76116;48446;1065;47381;139847;38759;40289;9137;19835;6415;4635; ; ; ; ;814; ; ; ; ; ; ; ; ; ; ;6587; ; ; ; ; ; ; ; ; ; ;7846; ; ; ; ;4986; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;544; ; ; ; ; ; ; ; ;19419;544;42;12;12;3;6;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; 
V;09.06.24;02:01 Uhr;199;199;KRS;15087;Landkreis Mansfeld-Südharz;112337;66333;1414;64919;192025;41083;60287;14808;23600;3934;2339; ; ; ; ; ; ; ;14760; ; ; ; ; ; ; ; ;7629; ; ; ; ; ; ; ; ; ; ;6957; ; ; ; ; ; ; ;3128; ; ; ; ;4637; ; ; ; ; ; ; ; ; ; ; ; ;824;5754; ; ; ; ; ; ; ; ; ; ;659;492;1134;28929;2285;48;10;15;4;6;1;1; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;7; 
V;09.06.24;12:14 Uhr;207;207;KRS;15088;Saalekreis;155155;99566;2225;97341;288344;91156;98231;22126;27983;10791;8701; ;2333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27023; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27023; ;54;17;18;4;5;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; 
V;09.06.24;05:31 Uhr;183;183;KRS;15089;Salzlandkreis;156395;88514;2165;86349;255060;68160;77490;20790;27879;16902;6646; ; ; ; ; ; ; ; ; ; ;12967; ; ; ; ; ; ; ; ; ; ; ; ; ;6053; ; ; ; ; ; ; ; ; ; ; ; ; ;4013; ; ; ;2161; ; ; ; ; ; ;1842;7490;1579; ; ; ; ; ; ; ; ; ;1088; ; ; ; ; ; ;36105;1088;54;15;16;4;6;4;1; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; 
V;09.06.24;02:05 Uhr;186;186;KRS;15090;Landkreis Stendal;91303;57937;1071;56866;168572;41673;53185;11071;17041;4440;4517; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23948; ; ;12697; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;36645; ;48;12;15;3;5;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11; 
V;09.06.24;05:10 Uhr;181;181;KRS;15091;Landkreis Wittenberg;105217;66214;1293;64921;192256;57575;54130;14010;22217;3751;4362;28427; ; ; ; ; ;1539; ; ; ; ; ; ; ; ; ; ;4481; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1764; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6245; ;48;14;14;4;6;1;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 