Wahl;Ebene;WK-Nr;WK-Name;Wahlberechtigte;Wähler;ungültige Stimmzettel;gültige Stimmzettel;gültige Stimmen;CDU;AfD;DIE LINKE;GRÜNE;SPD;FDP;Die Partei;PIRATEN;dieBasis;FREIE SACHSEN;BSW;BÜNDNIS DEUTSCHLAND;Volt;Wählervereinigungen;;Wahlbeteiligung;ungültige Stimmzettel in %;gültige Stimmzettel in %;CDU in %;AfD in %;DIE LINKE in %;GRÜNE in %;SPD in %;FDP in %;Die Partei in %;PIRATEN in %;dieBasis in %;FREIE SACHSEN in %;BSW in %;BÜNDNIS DEUTSCHLAND in %;Volt in %;Wählervereinigungen in %
KW24;SN;14;Freistaat Sachsen;3257064;2212527;42134;2170393;6254396;1512152;1684907;433732;420031;495426;172247;61.332;37.531;1.296;128.570;532.417;2.162;12.912;759.681;;67,9;1,9;98,1;24,2;26,9;6,9;6,7;7,9;2,8;1;0,6;0;2,1;8,5;0;0,2;12,1
GR24;SN;14511;Chemnitz, Stadt;189189;123673;1837;121836;355238;75725;86198;26984;25814;43905;12756;10.212;x;x;x;53.438;x;x;20.206;;65,4;1,5;98,5;21,3;24,3;7,6;7,3;12,4;3,6;2,9;x;x;x;15;x;x;5,7
GR24;SN;14612;Dresden, Stadt;429280;303717;3817;299900;876498;157497;170161;68051;127962;78671;24467;16.373;27.729;x;13.303;62.934;x;10.521;118.829;;70,8;1,3;98,7;18;19,4;7,8;14,6;9;2,8;1,9;3,2;x;1,5;7,2;x;1,2;13,6
GR24;SN;14713;Leipzig, Stadt;472669;318696;4164;314532;915637;173427;155582;160510;137587;110543;24871;31.860;9.802;914;8.964;88.034;x;2.391;11.152;;67,4;1,3;98,7;18,9;17;17,5;15;12,1;2,7;3,5;1,1;0,1;1;9,6;x;0,3;1,2
KT24;SN;14521;Erzgebirgskreis;269933;185906;4222;181684;520661;152446;153288;22770;10296;23242;9352;x;x;x;23.856;31.370;x;x;94.041;;68,9;2,3;97,7;29,3;29,4;4,4;2;4,5;1,8;x;x;x;4,6;6;x;x;18,1
KT24;SN;14522;Mittelsachsen;243355;166864;3266;163598;468948;125205;141999;25606;15325;31009;10404;x;x;x;15.386;13.135;x;x;90.879;;68,6;2;98;26,7;30,3;5,5;3,3;6,6;2,2;x;x;x;3,3;2,8;x;x;19,4
KT24;SN;14523;Vogtlandkreis;182437;119716;3134;116582;334072;91470;94698;14110;8392;24062;17263;x;x;x;4.612;44.126;x;x;35.339;;65,6;2,6;97,4;27,4;28,3;4,2;2,5;7,2;5,2;x;x;x;1,4;13,2;x;x;10,6
KT24;SN;14524;Zwickau;252910;167574;4032;163542;469154;127736;137559;19423;14012;25374;15046;1.221;x;x;11.847;46.966;x;x;69.970;;66,3;2,4;97,6;27,2;29,3;4,1;3;5,4;3,2;0,3;x;x;2,5;10;x;x;14,9
KT24;SN;14625;Bautzen;241794;166791;3948;162843;465722;126884;162067;16246;12937;27566;10432;1.666;x;x;x;41.853;x;x;66.071;;69;2,4;97,6;27,2;34,8;3,5;2,8;5,9;2,2;0,4;x;x;x;9;x;x;14,2
KT24;SN;14626;Görlitz;205428;135141;2858;132283;377499;88941;136285;12449;11632;9763;6191;x;x;382;x;39.165;x;x;72.691;;65,8;2,1;97,9;23,6;36,1;3,3;3,1;2,6;1,6;x;x;0,1;x;10,4;x;x;19,3
KT24;SN;14627;Meißen;196442;134325;2948;131377;375412;109363;120287;13875;16510;19841;13820;x;x;x;11.657;37.378;1.654;x;31.027;;68,4;2,2;97,8;29,1;32;3,7;4,4;5,3;3,7;x;x;x;3,1;10;0,4;x;8,3
KT24;SN;14628;Sächsische Schweiz-Osterzgebirge;198971;139001;3026;135975;390561;97980;122539;14589;13871;15136;7846;x;x;x;15.242;44.442;508;x;58.408;;69,9;2,2;97,8;25,1;31,4;3,7;3,6;3,9;2;x;x;x;3,9;11,4;0,1;x;15
KT24;SN;14729;Leipzig;212681;145484;2526;142958;410353;102607;111533;24491;16865;47754;9533;x;x;x;14.411;29.576;x;x;53.583;;68,4;1,7;98,3;25;27,2;6;4,1;11,6;2,3;x;x;x;3,5;7,2;x;x;13,1
KT24;SN;14730;Nordsachsen;161975;105639;2356;103283;294641;82871;92711;14628;8828;38560;10266;x;x;x;9.292;x;x;x;37.485;;65,2;2,2;97,8;28,1;31,5;5;3;13,1;3,5;x;x;x;3,2;x;x;x;12,7